,Capitale,Pays/Territoire,Population,Année,capitalpays,Latitude,Longitude
0,Pékin,Chine,21 710 000[1],2017,"Pékin,Chine",39.90419989999999,116.4073963
1,Tokyo,Japon,13 754 059[2],2016,"Tokyo,Japon",35.6894875,139.6917064
2,Kinshasa,République Démocratique du Congo,12 071 000,2016,"Kinshasa,République Démocratique du Congo",-4.4419311,15.2662931
3,Moscou,Russie,11 541 000[3],2011,"Moscou,Russie",55.755826,37.6172999
4,Séoul,Corée du Sud,10 528 774[4],2011,"Séoul,Corée du Sud",37.566535,126.9779692
5,Jakarta,Indonésie,10 187 595[5],2011,"Jakarta,Indonésie",-6.17511,106.8650395
6,Dacca,Bangladesh,8 906 000 [6],2011,"Dacca,Bangladesh",23.810332,90.4125181
7,Mexico,Mexique,8 851 080[7],2010,"Mexico,Mexique",19.4326077,-99.133208
8,Londres,Royaume-Uni,8 630 100[8],2015,"Londres,Royaume-Uni",51.5073509,-0.1277583
9,Lima,Pérou,8 481 415[9],2012,"Lima,Pérou",-12.0463731,-77.042754
10,Bangkok,Thaïlande,8 249 117[10],2010,"Bangkok,Thaïlande",13.7563309,100.5017651
11,Téhéran,Iran,8 154 051,,"Téhéran,Iran",35.6891975,51.3889736
12,Bogota,Colombie,7 613 303[11],2011,"Bogota,Colombie",4.710988599999999,-74.072092
13,Le Caire,Égypte,7 438 376,,"Le Caire,Égypte",30.0444196,31.2357116
14,Bagdad,Iraq,7 216 040 [12],,"Bagdad,Iraq",33.3128057,44.3614875
15,Hong Kong,Hong Kong (Chine),7 136 300[13],2012,"Hong Kong,Hong Kong (Chine)",22.396428,114.109497
16,Singapour,Singapour,5 312 000[14],2012,"Singapour,Singapour",1.352083,103.819836
17,Ankara,Turquie,5 150 072,2014,"Ankara,Turquie",39.9333635,32.8597419
18,Santiago,Chili,5 084 038[15],2012,"Santiago,Chili",-33.4488897,-70.6692655
19,Riyad,Arabie saoudite,4 878 723[16],2009,"Riyad,Arabie saoudite",24.7135517,46.6752957
20,Alger,Algérie,4 000 000,2015,"Alger,Algérie",36.753768,3.0587561
21,Berlin,Allemagne,3 520 000[17],2012,"Berlin,Allemagne",52.52000659999999,13.404954
22,Damas,Syrie,3 500 000,,"Damas,Syrie",33.5138073,36.2765279
23,Hanoï,Viêt Nam,3 398 889[18],,"Hanoï,Viêt Nam",21.0277644,105.8341598
24,Madrid,Espagne,3 233 527[19],2012,"Madrid,Espagne",40.4167754,-3.7037902
25,Pyongyang,Corée du Nord,3 144 005,,"Pyongyang,Corée du Nord",39.0392193,125.7625241
26,Kaboul,Afghanistan,3 140 853,,"Kaboul,Afghanistan",34.5553494,69.207486
27,Nairobi,Kenya,3 138 369,2010,"Nairobi,Kenya",-1.2920659,36.8219462
28,Addis-Abeba,Éthiopie,3 040 740[20],2012,"Addis-Abeba,Éthiopie",8.9806034,38.7577605
29,Buenos Aires,Argentine,2 891 082[21],2010,"Buenos Aires,Argentine",-34.6036844,-58.3815591
30,Rome,Italie,2 868 104[22],2014,"Rome,Italie",41.9027835,12.4963655
31,Kiev,Ukraine,2 847 200[23],2013,"Kiev,Ukraine",50.4501,30.5234
32,Taipei,Taïwan,2 702 314,2014,"Taipei,Taïwan",25.0329694,121.5654177
33,Brasília,Brésil,2 648 532[24],2012,"Brasília,Brésil",-15.826691,-47.92182039999999
34,Amman,Jordanie,2 600 603,,"Amman,Jordanie",31.9453666,35.9283716
35,Luanda,Angola,2 453 779,,"Luanda,Angola",-8.8146556,13.2301756
36,Pretoria,Afrique du Sud,2 345 908,,"Pretoria,Afrique du Sud",-25.7478676,28.2292712
37,Paris,France,2 268 265[25],2010,"Paris,France",48.856614,2.3522219
38,Tashkent,Ouzbékistan,2 207 850,,"Tashkent,Ouzbékistan",41.2994958,69.2400734
39,Bakou,Azerbaïdjan,2 204 200[26],2015,"Bakou,Azerbaïdjan",40.40926169999999,49.8670924
40,Stockholm,Suède,2 171 459[27],2014,"Stockholm,Suède",59.32932349999999,18.0685808
41,La Havane,Cuba,2 135 498[28],2010,"La Havane,Cuba",23.1135925,-82.3665956
42,Phnom Penh,Cambodge,2 011 725,,"Phnom Penh,Cambodge",11.5563738,104.9282099
43,Bucarest,Roumanie,1 942 254[29],,"Bucarest,Roumanie",44.4267674,26.1025384
44,Caracas,Venezuela,1 838 939,,"Caracas,Venezuela",10.4805937,-66.90360629999999
45,Rabat,Maroc,1 789 635,,"Rabat,Maroc",33.9715904,-6.8498129
46,Vienne,Autriche,1 749 673[30],2013,"Vienne,Autriche",48.2081743,16.3738189
47,Khartoum,Soudan,1 740 661,,"Khartoum,Soudan",15.5006544,32.5598994
48,Budapest,Hongrie,1 729 040[31],2011,"Budapest,Hongrie",47.497912,19.040235
49,Varsovie,Pologne,1 711 324[32],2012,"Varsovie,Pologne",52.2296756,21.0122287
50,Minsk,Biélorussie,1 702 061,,"Minsk,Biélorussie",53.90453979999999,27.5615244
51,Manille,Philippines,1 652 171[33],2010,"Manille,Philippines",14.5995124,120.9842195
52,Kampala,Ouganda,1 659 600,,"Kampala,Ouganda",0.3475964,32.5825197
53,Accra,Ghana,1 640 507,,"Accra,Ghana",5.6037168,-0.1869644
54,Yaoundé,Cameroun,1 616 000 [34],2013,"Yaoundé,Cameroun",3.8480325,11.5020752
55,Antananarivo,Madagascar,1 613 375[35],2013,"Antananarivo,Madagascar",-18.8791902,47.5079055
56,Beyrouth,Liban,1 574 387,,"Beyrouth,Liban",33.8937913,35.5017767
57,Quito,Équateur,1 504 991,,"Quito,Équateur",-0.1806532,-78.4678382
58,Harare,Zimbabwe,1 487 028,,"Harare,Zimbabwe",-17.8251657,31.03351
59,Doha,Qatar,1 450 000,,"Doha,Qatar",25.2854473,51.53103979999999
60,Sanaa,Yémen,1 431 649,,"Sanaa,Yémen",15.3694451,44.1910066
61,Conakry,Guinée,1 399 981,,"Conakry,Guinée",9.641185499999999,-13.5784012
62,Kuala Lumpur,Malaisie,1 381 830,,"Kuala Lumpur,Malaisie",3.139003,101.686855
63,Montevideo,Uruguay,1 369 797,,"Montevideo,Uruguay",-34.9011127,-56.16453139999999
64,Lusaka,Zambie,1 331 254,,"Lusaka,Zambie",-15.3875259,28.3228165
65,Hargeisa,Somaliland,1 300 000,,"Hargeisa,Somaliland",9.562389,44.0770134
66,Bamako,Mali,1 289 626,,"Bamako,Mali",12.6392316,-8.0028892
67,Prague,République tchèque,1 241 664[36],2011,"Prague,République tchèque",50.0755381,14.4378005
68,Port-au-Prince,Haïti,1 235 227,,"Port-au-Prince,Haïti",18.594395,-72.3074326
69,Tripoli,Libye,1 184 045,,"Tripoli,Libye",32.8872094,13.1913383
70,Koweït,Koweït,1 171 880,,"Koweït,Koweït",29.31166,47.481766
71,Belgrade,Serbie,1 154 589,,"Belgrade,Serbie",44.786568,20.4489216
72,Saint-Domingue,République dominicaine,1 111 838[37],2010,"Saint-Domingue,République dominicaine",18.4860575,-69.93121169999999
73,Mogadiscio,Somalie,1 097 133,,"Mogadiscio,Somalie",2.0469343,45.3181623
74,Sofia,Bulgarie,1 090 295,,"Sofia,Bulgarie",42.6977082,23.3218675
75,Brazzaville,Congo,1 088 044,,"Brazzaville,Congo",-4.2633597,15.2428853
76,Bruxelles-Ville,Belgique,168 230[38],,"Bruxelles-Ville,Belgique",50.8503396,4.3517103
77,Erevan,Arménie,1 080 487[35],2013,"Erevan,Arménie",40.1791857,44.4991029
78,Maputo,Mozambique,1 076 689,,"Maputo,Mozambique",-25.969248,32.5731746
79,Freetown,Sierra Leone,1 070 200,,"Freetown,Sierra Leone",8.4656765,-13.2317225
80,Tbilissi,Géorgie,1 044 993,,"Tbilissi,Géorgie",41.7151377,44.827096
81,Dakar,Sénégal,1 030 594,,"Dakar,Sénégal",14.716677,-17.4676861
82,Ouagadougou,Burkina Faso,1 005 231,,"Ouagadougou,Burkina Faso",12.3714277,-1.5196603
83,Dublin,Ireland,1 045 769,,"Dublin,Ireland",53.3498053,-6.2603097
84,Monrovia,Liberia,1 010 970,,"Monrovia,Liberia",6.3156068,-10.8073698
85,Guatemala,Guatemala,1 103 865 [39],,"Guatemala,Guatemala",14.6349149,-90.5068824
86,Islamabad,Pakistan,955 629,,"Islamabad,Pakistan",33.6844202,73.04788479999999
87,Managua,Nicaragua,926 883,,"Managua,Nicaragua",12.1149926,-86.2361744
88,Naypyidaw[40],Myanmar,925 000[41],,"Naypyidaw[40],Myanmar",19.7633057,96.07851040000001
89,Oulan-Bator,Mongolie,907 802,,"Oulan-Bator,Mongolie",47.88639879999999,106.9057439
90,Lilongwe,Malawi,902 388,,"Lilongwe,Malawi",-13.9626121,33.7741195
91,Ottawa,Canada,898 150[42],,"Ottawa,Canada",45.4215296,-75.69719309999999
92,La Paz,Bolivie,877 363,,"La Paz,Bolivie",-16.489689,-68.11929359999999
93,Bichkek,Kirghizstan,843 240,,"Bichkek,Kirghizstan",42.8746212,74.5697617
94,Astana,Kazakhstan,835 153,2014,"Astana,Kazakhstan",51.16052269999999,71.4703558
95,Lomé,Togo,824 738,,"Lomé,Togo",6.1256261,1.2254183
96,Panama,Panama,813 097,,"Panama,Panama",8.9823792,-79.51986959999999
97,Katmandou,Népal,812 026,,"Katmandou,Népal",27.7172453,85.3239605
98,Amsterdam,Pays-Bas,810 909[43],,"Amsterdam,Pays-Bas",52.3679843,4.9035614
99,Zagreb,Croatie,804 200[44],,"Zagreb,Croatie",45.8150108,15.9819189
100,Mascate,Oman,797 000[45],,"Mascate,Oman",23.58589,58.4059227
101,Niamey,Niger,794 814[43],,"Niamey,Niger",13.5115963,2.1253854
102,Chișinău,Moldavie,794 800 [46],,"Chișinău,Moldavie",47.0104529,28.8638102
103,Jérusalem[47],Israël/ Palestine,780 200[48],,"Jérusalem[47],Israël/ Palestine",31.768319,35.21371
104,Abuja,Nigeria,778 567,[49],"Abuja,Nigeria",9.0764785,7.398574
105,Tirana,Albanie,763 634,,"Tirana,Albanie",41.3275459,19.8186982
106,Tunis,Tunisie,767 629,,"Tunis,Tunisie",36.8064948,10.1815316
107,Achgabat,Turkménistan,763 537,,"Achgabat,Turkménistan",37.9600766,58.32606289999999
108,N'Djaména,Tchad,751 288,,"N'Djaména,Tchad",12.1348457,15.0557415
109,Tegucigalpa,Honduras,735 982,,"Tegucigalpa,Honduras",14.0722751,-87.19213599999999
110,Bangui,République centrafricaine,731 548,,"Bangui,République centrafricaine",4.3946735,18.5581899
111,Athènes,Grèce,721 477,,"Athènes,Grèce",37.9838096,23.7275388
112,Nouakchott,Mauritanie,719 167,,"Nouakchott,Mauritanie",18.0735299,-15.9582372
113,Kigali,Rwanda,718 414,,"Kigali,Rwanda",-1.9705786,30.1044288
114,Riga,Lettonie,713 016,,"Riga,Lettonie",56.9496487,24.1051865
115,Kingston,Jamaïque,701 063,,"Kingston,Jamaïque",18.0178743,-76.8099041
116,Washington,États-Unis,658 893,2014,"Washington,États-Unis",47.7510741,-120.7401385
117,Oslo,Norvège,645 701[50],2013,"Oslo,Norvège",59.9138688,10.7522454
118,Helsinki,Finlande,596 661[51],,"Helsinki,Finlande",60.16985569999999,24.9383791
119,Abou Dhabi,Émirats arabes unis,585 097[52],,"Abou Dhabi,Émirats arabes unis",24.453884,54.3773438
120,Douchanbé,Tadjikistan,582 496,,"Douchanbé,Tadjikistan",38.5597722,68.7870384
121,Vilnius,Lituanie,556 723,,"Vilnius,Lituanie",54.6871555,25.2796514
